Size (n) , Time(Milliseconds)
1000 , 2778
1100 , 2832
1200 , 3043
1300 , 3726
1400 , 4630
1500 , 5429
1600 , 6544
1700 , 9407
1800 , 10050
1900 , 12288
2000 , 13891
2100 , 14969
2200 , 16227
2300 , 16601
2400 , 17807
2500 , 18871
2600 , 20337
2700 , 19831
2800 , 21484
2900 , 22139
3000 , 25760
3100 , 23857
3200 , 25063
3300 , 25302
3400 , 26729
3500 , 27239
3600 , 41891
3700 , 29505
3800 , 29517
3900 , 31219
4000 , 36905
4100 , 33195
4200 , 34265
4300 , 34788
4400 , 35799
4500 , 36168
4600 , 37678
4700 , 39299
4800 , 39055
4900 , 40809
5000 , 42921
5100 , 41883
5200 , 41585
5300 , 44114
5400 , 43765
5500 , 44994
5600 , 45756
5700 , 47062
5800 , 48283
5900 , 48409
6000 , 50730
6100 , 51588
6200 , 52219
6300 , 54118
6400 , 53797
6500 , 55823
6600 , 55018
6700 , 57040
6800 , 58220
6900 , 58745
7000 , 59998
7100 , 61349
7200 , 62364
7300 , 62756
7400 , 64133
7500 , 65743
7600 , 66517
7700 , 67841
7800 , 69794
7900 , 69277
8000 , 73147
8100 , 74285
8200 , 78389
8300 , 77000
8400 , 79157
8500 , 80830
8600 , 83838
8700 , 170548
8800 , 85331
8900 , 90587
9000 , 94412
9100 , 89420
9200 , 86714
9300 , 89221
9400 , 91156
9500 , 92547
9600 , 94759
9700 , 92703
9800 , 94917
9900 , 98803
10000 , 98451
