Size (n) , Time(Nanoseconds)
1000 , 2947
1100 , 2944
1200 , 3052
1300 , 4039
1400 , 4809
1500 , 5514
1600 , 6750
1700 , 9078
1800 , 10022
1900 , 12363
2000 , 13815
2100 , 15377
2200 , 15877
2300 , 17422
2400 , 18603
2500 , 18534
2600 , 19812
2700 , 20438
2800 , 26117
2900 , 22389
3000 , 23567
3100 , 23945
3200 , 24957
3300 , 25663
3400 , 35457
3500 , 27783
3600 , 28048
3700 , 29600
3800 , 44038
3900 , 31795
4000 , 31795
4100 , 33484
4200 , 33377
4300 , 35378
4400 , 36264
4500 , 36863
4600 , 38234
4700 , 38630
4800 , 39805
4900 , 40233
5000 , 42039
5100 , 42942
5200 , 42064
5300 , 44391
5400 , 44556
5500 , 47595
5600 , 45775
5700 , 46841
5800 , 47663
5900 , 49632
6000 , 50796
6100 , 51359
6200 , 51745
6300 , 53186
6400 , 54791
6500 , 56886
6600 , 56578
6700 , 57701
6800 , 59055
6900 , 60445
7000 , 61000
7100 , 62581
7200 , 62598
7300 , 65915
7400 , 65824
7500 , 66774
7600 , 67695
7700 , 69095
7800 , 69030
7900 , 70485
8000 , 72896
8100 , 74588
8200 , 76635
8300 , 80874
8400 , 78486
8500 , 78721
8600 , 79179
8700 , 145360
8800 , 82482
8900 , 86801
9000 , 87356
9100 , 87800
9200 , 86564
9300 , 91506
9400 , 87738
9500 , 88518
9600 , 93493
9700 , 94035
9800 , 98564
9900 , 96024
10000 , 97589
